"Time";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"ep/o/X";"ep/o/Y";"ep/a/X";"ep/a/Y";"ep/b/X";"ep/b/Y";"cou/o/X";"cou/o/Y";"cou/a/X";"cou/a/Y";"cou/b/X";"cou/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"Angle 183/o/X";"Angle 183/o/Y";"Angle 183/a/X";"Angle 183/a/Y";"Angle 183/b/X";"Angle 183/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y"
"0";"10,6416";"496,9153";"-65,52771";"299,4765";"12,64612";"529,9889";"-66,8913";"298,5299";"-398,6014";"310,9091";"-15,94397";"424,1958";"-401,1189";"315,9441";"-513,4456";"-95,09949";"-65,23743";"298,5299";"-423,7762";"104,4755";"-370,9091";"207,6923";"-630,2098";"202,6573";"1542,378";"-177,4825";"1461,818";"-91,88812";"1499,58";"152,3077";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,042";"16,65503";"494,9109";"-76,55219";"307,4943";"19,66168";"529,9889";"-75,16083";"310,1072";"-429,0965";"283,6447";"-13";"426";"-429";"282";"-508";"-99";"-75,16083";"310,1072";"-421,2587";"81,81821";"-375,944";"180";"-640,2797";"177,4825";"1542,378";"177,4825";"1454,266";"-51,6084";"1343,497";"-44,05603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,083";"18,65942";"492,9064";"-69,53662";"306,4921";"26,67719";"535";"-71,85303";"303,4916";"-432,4043";"270,4135";"-14";"426";"-431";"268";"-503";"-108";"-71,85303";"301,8377";"-428,8112";"54,12589";"-373,4266";"164,8951";"-652,8671";"164,8951";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,125";"19,66168";"494,9109";"-89,58118";"292,4609";"28,68182";"533,9978";"-88,39203";"293,5681";"-437,366";"250,5666";"-21";"425";"-438";"250";"-503";"-120";"-86,73822";"293,5681";"-433,8461";"36,50351";"-370,9091";"149,7902";"-695,6643";"124,6154";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,167";"23,67059";"495,9131";"-116,6413";"293,4631";"33,69287";"536,0022";"-116,5084";"295,2221";"-442,3277";"227,412";"-36";"417";"-443,9816";"227,412";"-506";"-139";"-116,5084";"293,5681";"-443,9161";"11,32867";"-406,1539";"124,6154";"-743,4965";"64,1958";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,208";"23,67059";"491,9042";"-125,6614";"284,443";"36,69958";"530,9911";"-126,4319";"285,2986";"-448,9433";"214,1807";"-47";"411";"-451";"212";"-507";"-154";"-126,4319";"285,2986";"-448,951";"3,776184";"-403,6364";"104,4755";"-728,3916";"49,09091";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,25";"21,27618";"486,4185";"-138,6903";"276,4252";"37,19812";"526,2234";"-138,0092";"275,3752";"-458,8668";"195,9878";"-56";"404";"-458";"198";"-509";"-167";"-138,0092";"275,3752";"-448,951";"-21,39862";"-406,1539";"86,85309";"-715,8042";"51,6084";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,292";"18,0918";"487,2146";"-153,0693";"267,4916";"31,62549";"524,6312";"-152,8943";"267,1057";"-467,1363";"187,7182";"-67";"400";"-469,5175";"185";"-510";"-180";"-154,5482";"268,7596";"-451,4685";"-36,50348";"-408,6713";"79,30069";"-725,8741";"13,84613";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,333";"2,965881";"490,399";"-143,5161";"282,6175";"18,88788";"526,2234";"-143";"283";"-473,7519";"174,487";"-80";"397";"-476";"173";"-510";"-192";"-144,6248";"285,2986";"-448,951";"-41,53851";"-401,1189";"54,12589";"-758,6014";"31,46851";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,375";"-5,791077";"491,1951";"-159,438";"283,4136";"10,94641";"528,8546";"-159";"284";"-483,6754";"157,9479";"-94";"397";"-482,0215";"156,294";"-510";"-202";"-161,1639";"283,6447";"-459,021";"-64,1958";"-421,2587";"51,6084";"-756,0839";"1,258728";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
